"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Minimum Quantity","Maximum Quantity","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default"
"17","variation","ANSHU_004_M","Diamond Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","984","","","","150","","","","","","799","1599","","","","","","","ANSHU_004_S","","","","","","","","","Size","M","","0","","","","","","","","","","",""
"18","variation","ANSHU_004_L","Diamond Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","977","","","","150","","","","","","799","1599","","","","","","","ANSHU_004_S","","","","","","","","","Size","L","","0","","","","","","","","","","",""
"19","variation","ANSHU_004_XL","Diamond Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","989","","","","150","","","","","","799","1599","","","","","","","ANSHU_004_S","","","","","","","","","Size","XL","","0","","","","","","","","","","",""
"20","variation","ANSHU_004_XXL","Diamond Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","994","","","","150","","","","","","799","1599","","","","","","","ANSHU_004_S","","","","","","","","","Size","2XL","","0","","","","","","","","","","",""
"182b1880-fa83-11eb-bc55-679cddfb54a7","variable","ANSHU_005_S","Khaki Ajrakh Handblock Shirt","1","","visible","","<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span style=""color: #444444;"">For size guide click <a href=""https://Pinstitch.in/pages/size-chart"">here</a>.Â </span></p>
<p><span style=""color: #444444;"" mce-data-marked=""1"">Exquisitely crafted by the expert artisans of Kutch, this intricate ajrakh shirt is the perfect festive day wear.Â </span></p>
<p><span style=""color: #444444;"">Fabric: Cotton</span><br><span style=""color: #444444;"">Color: Khaki</span><br><span style=""color: #444444;"">Fit: Regular</span><br><span style=""color: #444444;"">Sleeve: Half Sleeve</span><br><span style=""color: #444444;"">Collar: Regular</span><br><span style=""color: #444444;"">Pattern: Ajrakh Handblock</span><br><span style=""color: #444444;"">Buttons: WoodenÂ </span></p>
<p><strong>Know your Fabric</strong></p>
<p><span style=""font-weight: 400;"">Ajrakhâ€™s name is derived from 'azarak' meaning 'blue' in Arabic. It finds it origin from the Sindh region in India and was introduced in the Mughal period. It is a block-printed textile that is made using natural dyes namely indigo (blue) and madder (red), though now many colors are used. Â An Ajrakh print is identified by its complex geometric and floral patterns. A remarkable feature of Ajrakh print is that on a single fabric, resist printing along with other printing and dyeing techniques are used in combination. The whole process is repeated on both sides of the fabric in perfect cohesion which calls for unsurpassed skill. Ajrakh uses mud-resist in the various stages and another unique feature is that the dyeing and printing is repeated twice on the fabric to ensure brilliance of colour. Superimposing the repeats is done perfectly thus revealing a sense of detail in every motif designed.</span></p>
<p><span style=""font-weight: 400;"" mce-data-marked=""1"">Fabric Care: Handwash separately.</span></p>","","","taxable","","1","","","","","150","","","","1","","","","","Most Popular","","http://shopify.test/storage/1/images/182b1880-fa83-11eb-bc55-679cddfb54a7/16286727028509.png","","","ANSHU_005_S","","","","","","","","","Size","S, M, L, XL, 2XL","1","0","S","","","","","","","","","",""
"21","variation","ANSHU_005_S","Khaki Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","996","","","","150","","","","","","799","1599","","","","","","","ANSHU_005_S","","","","","","","","","Size","S","","0","","","","","","","","","","",""
"22","variation","ANSHU_005_M","Khaki Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_005_S","","","","","","","","","Size","M","","0","","","","","","","","","","",""
"23","variation","ANSHU_005_L","Khaki Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","999","","","","150","","","","","","799","1599","","","","","","","ANSHU_005_S","","","","","","","","","Size","L","","0","","","","","","","","","","",""
"24","variation","ANSHU_005_XL","Khaki Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_005_S","","","","","","","","","Size","XL","","0","","","","","","","","","","",""
"25","variation","ANSHU_005_XXL","Khaki Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_005_S","","","","","","","","","Size","2XL","","0","","","","","","","","","","",""
